Unnamed: 0,Course,Daytime_evening_attendance,Admission_grade,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_grade,Status_New,Status_0,Status_1,Status_2,Status,Attendance,Attendance_Category
19,9853,1,124.6,0,0,1,0,0,18,23.333333333333332,27.0,1,False,True,False,1,1,3
20,171,1,120.3,0,0,1,0,1,21,0.0,0.0,1,True,False,False,2,2,2
21,9556,1,121.8,0,0,1,0,0,20,22.875,22.85,1,False,True,False,1,1,3
22,9500,1,125.5,0,0,1,0,0,18,25.714285714285715,25.714285714285715,1,False,True,False,2,0,3
23,9670,1,114.9,0,0,1,0,1,19,26.75,24.571428571428573,1,False,True,False,2,0,3
24,9500,1,123.9,0,0,1,0,0,19,26.593333333333337,28.228571428571428,1,False,True,False,2,0,3
25,9238,1,157.0,0,1,1,0,1,18,23.2,22.0,1,False,True,False,1,1,3
26,9238,1,116.4,0,0,1,0,0,21,22.75,26.571428571428573,1,True,False,False,2,3,3
27,9085,1,131.0,0,0,1,0,0,18,25.333333333333332,26.0,1,False,True,False,1,0,3
28,9147,1,122.1,0,0,1,0,0,20,24.0,24.666666666666668,1,False,True,False,2,1,3
29,9500,1,118.8,0,0,1,1,0,19,25.866666666666664,27.433333333333337,1,False,True,False,1,0,3
30,9003,1,150.0,0,0,1,1,0,21,23.714285714285715,21.142857142857142,1,False,True,False,1,0,3
31,9070,1,130.0,0,0,1,1,0,20,25.666666666666668,26.8,1,False,True,False,2,0,3
32,9147,1,138.8,0,0,0,1,0,18,22.666666666666668,27.0,1,False,True,False,1,1,3
33,8014,0,134.5,0,0,1,0,0,19,25.333333333333332,28.75,1,False,True,False,2,1,3
34,9991,0,131.4,0,0,1,1,0,34,24.8,26.857142857142858,1,False,True,False,2,0,3
35,33,1,102.5,0,1,0,1,0,37,0.0,20.0,0,True,False,False,0,3,3
36,9119,1,128.8,0,0,1,1,0,43,0.0,0.0,0,True,False,False,0,2,2
37,9147,1,122.9,0,0,1,0,0,55,20.0,24.0,0,False,True,False,0,0,3
38,9991,0,113.9,0,0,1,0,0,39,22.0,23.2,1,False,True,False,2,1,3
39,9130,1,120.0,0,1,0,0,0,20,23.333333333333332,24.0,0,True,False,False,0,1,3
40,9773,1,121.1,0,1,1,0,0,18,25.5,0.0,0,True,False,False,0,3,3
41,9147,1,120.4,0,0,1,0,0,22,29.6,31.6,1,False,False,True,2,1,3
42,9500,1,100.6,1,0,1,0,0,22,27.856,28.685714285714283,1,False,False,True,2,1,3
43,9773,1,121.4,0,0,0,0,0,20,26.0,27.6,0,True,False,False,0,3,3
44,9991,0,109.7,0,0,1,0,0,29,0.0,0.0,0,True,False,False,0,0,0
45,9991,0,134.1,0,0,1,0,0,24,23.0,28.666666666666668,1,False,True,False,1,1,3
46,9238,1,127.6,0,0,1,0,0,18,23.333333333333332,26.4,1,False,True,False,2,1,3
47,9500,1,132.4,0,0,1,0,1,22,27.03333333333333,27.542857142857144,1,False,True,False,2,1,3
48,8014,0,133.4,0,0,1,0,1,21,23.0,26.571428571428573,1,False,True,False,2,0,3
49,9238,1,126.1,0,0,1,0,1,19,24.666666666666668,25.666666666666668,1,False,True,False,2,0,3
50,9254,1,113.5,0,0,1,0,1,24,27.333333333333332,28.333333333333332,1,False,True,False,2,1,3
51,9500,1,121.3,0,0,1,0,1,19,23.666666666666668,23.666666666666668,1,False,True,False,1,1,3
52,9773,1,121.8,0,0,1,0,1,20,28.0,22.0,1,True,False,False,1,3,3
53,9130,1,159.3,0,0,1,0,0,19,29.428571428571427,31.6,1,False,False,True,2,1,3
54,9991,0,120.0,0,0,1,0,0,27,21.2,22.0,0,False,True,False,0,0,3
55,9500,1,129.1,0,0,1,0,0,18,26.08888888888889,27.19,1,True,False,False,2,3,3
56,9254,1,130.0,0,0,1,0,0,39,0.0,0.0,0,True,False,False,0,0,0
57,9130,1,155.3,0,0,1,0,0,27,26.0,25.8,0,False,True,False,0,0,3
58,9500,1,139.8,0,0,1,0,0,18,29.87,29.87,1,False,False,True,2,1,3
59,171,1,115.2,0,1,1,0,0,18,0.0,0.0,1,True,False,False,1,0,0
60,9500,1,114.9,0,0,1,0,0,18,26.266666666666666,24.442857142857143,1,False,True,False,2,1,3
61,9238,1,131.9,0,0,1,0,1,21,24.0,24.0,1,False,True,False,2,0,3
62,171,1,126.0,0,0,1,1,1,19,0.0,0.0,1,True,False,False,1,0,0
63,9070,1,130.2,0,0,1,1,0,19,22.8,20.0,1,False,True,False,1,1,3
64,9070,1,120.9,0,1,1,1,0,24,0.0,0.0,1,True,False,False,1,1,1
65,9500,1,126.0,0,0,1,1,0,29,23.8,22.0,0,False,True,False,0,1,3
66,171,1,128.2,0,1,1,1,1,19,0.0,0.0,1,True,False,False,2,0,0
67,9003,1,130.0,0,0,1,1,0,23,25.142857142857142,24.857142857142858,1,False,True,False,2,0,3
68,9147,1,120.1,0,1,1,1,0,19,22.4,21.5,0,True,False,False,0,3,3
69,9254,1,100.0,0,0,1,1,0,26,24.0,21.6,1,True,False,False,1,3,3
70,9147,1,134.0,0,0,1,1,0,18,0.0,0.0,1,True,False,False,1,2,2
71,9500,1,130.8,0,0,1,1,0,24,23.95,27.5,1,False,True,False,2,0,3
72,171,1,135.8,0,1,1,1,0,19,0.0,0.0,0,True,False,False,0,1,1
73,9254,1,111.7,0,0,1,1,0,18,23.333333333333332,24.0,0,False,True,False,0,1,3
74,9773,1,132.9,0,0,1,1,0,18,24.666666666666668,24.666666666666668,1,False,True,False,2,1,3
75,9147,1,115.5,0,1,1,1,0,18,20.666666666666668,21.714285714285715,0,True,False,False,0,0,3
76,9254,1,106.0,0,0,1,1,1,21,21.0,22.0,0,False,True,False,0,0,3
77,9773,1,120.3,0,1,1,1,1,19,27.333333333333332,26.666666666666668,1,False,True,False,2,0,3
78,9500,1,130.8,0,0,1,1,1,22,29.685714285714283,30.11111111111111,1,False,False,True,2,1,3
79,8014,0,117.0,0,0,1,1,0,33,24.0,23.333333333333332,1,False,True,False,2,0,3
80,9853,1,110.2,0,0,1,1,0,20,24.4,24.4,0,False,True,False,0,0,3
81,9991,0,155.7,0,0,1,1,0,35,0.0,0.0,0,True,False,False,0,0,0
82,9003,1,180.4,0,1,1,1,0,24,24.333333333333332,26.6,0,True,False,False,0,0,3
83,9254,1,125.5,0,0,1,1,0,18,24.0,22.666666666666668,1,False,True,False,1,0,3
84,8014,0,110.0,0,0,1,0,0,33,22.0,22.0,1,False,True,False,2,0,3
85,9500,1,161.0,0,0,1,0,1,22,26.16,26.16,1,False,True,False,2,0,3
86,9670,1,100.0,0,0,1,0,1,25,21.0,23.2,1,False,True,False,2,0,3
87,9070,1,117.6,0,0,1,1,0,20,21.333333333333332,22.4,1,False,True,False,2,0,3
88,9147,1,128.7,0,0,1,1,0,23,28.0,27.6,1,False,True,False,1,0,3
89,9119,1,112.2,0,1,1,1,0,18,20.0,0.0,1,True,False,False,1,3,3
90,9500,1,100.8,0,0,1,1,0,24,0.0,0.0,0,True,False,False,0,2,2
91,9773,1,105.0,0,0,0,0,0,21,28.0,27.0,1,False,True,False,2,0,3
92,9130,1,100.0,0,0,1,0,0,26,24.0,0.0,0,True,False,False,0,3,3
93,9853,1,115.5,0,0,1,0,0,39,25.333333333333332,0.0,0,True,False,False,0,3,3
94,8014,0,114.0,0,0,1,0,0,44,23.75,24.666666666666668,1,False,True,False,2,0,3
95,9119,1,137.0,0,0,1,1,0,19,28.0,26.5,1,False,True,False,1,1,3
96,9773,1,124.9,0,0,1,0,0,18,27.333333333333332,26.666666666666668,1,False,True,False,2,0,3
97,9500,1,120.3,0,0,1,0,1,18,27.5,28.95555555555556,1,False,False,True,2,0,3
98,9085,1,134.3,0,0,1,0,0,19,28.4,27.6,1,False,False,True,1,0,3
99,9500,1,111.5,0,1,0,0,0,19,23.92,0.0,0,True,False,False,0,3,3
100,9085,1,128.8,0,0,1,0,0,21,25.75,26.8,0,False,True,False,0,1,3
101,171,1,110.0,0,0,1,0,0,20,0.0,0.0,1,True,False,False,2,1,1
102,8014,0,113.5,0,0,1,0,0,36,0.0,0.0,0,True,False,False,0,0,0
103,9003,1,160.0,0,0,1,0,0,43,29.26315789473684,28.46153846153846,1,False,False,True,2,0,3
104,9853,1,117.4,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0,0,0
105,9070,1,122.2,0,1,1,0,0,20,26.0,24.545454545454543,1,True,False,False,2,1,3
106,9238,1,118.2,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0,0,0
107,9085,1,106.7,0,0,1,0,0,20,28.4,26.5,0,True,False,False,0,3,3
108,9500,1,108.2,0,0,1,0,0,20,26.53333333333333,24.6,0,True,False,False,0,3,3
109,9853,1,107.0,0,0,1,0,0,20,23.333333333333332,26.0,1,False,True,False,1,0,3
110,9238,1,136.1,0,0,1,0,0,18,27.714285714285715,30.0,1,False,False,True,2,0,3
111,9147,1,115.3,0,0,1,0,1,18,26.0,22.0,1,False,True,False,1,0,3
112,9085,1,139.8,0,0,1,0,0,19,26.8,25.6,1,False,True,False,2,1,3
113,9773,1,157.0,0,0,1,0,0,18,25.333333333333332,25.142857142857142,1,False,True,False,2,1,3
114,9500,1,131.0,0,0,1,0,0,18,25.03333333333333,25.03333333333333,0,False,True,False,0,1,3
115,9500,1,100.0,0,0,1,0,0,20,23.233333333333334,26.0,1,False,True,False,1,1,3
116,9238,1,140.4,0,0,1,0,1,20,20.0,21.5,1,False,True,False,1,1,3
117,9147,1,113.4,0,0,1,0,0,20,20.666666666666668,21.333333333333332,1,False,True,False,1,1,3
118,9085,1,137.0,0,0,1,0,0,18,26.285714285714285,22.8,1,False,True,False,2,0,3
119,9147,1,121.8,0,0,1,0,0,18,25.2,28.0,1,False,True,False,2,1,3
120,9254,1,131.0,0,0,1,0,0,21,22.0,22.0,0,False,True,False,0,0,3
121,9147,1,118.6,0,0,1,0,0,19,21.6,22.5,1,False,True,False,2,0,3
122,171,1,122.3,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0,2,2
123,9670,1,127.9,0,0,1,0,1,19,25.6,28.4,1,False,True,False,2,0,3
124,9085,1,121.3,0,0,1,0,0,19,28.333333333333332,24.4,1,False,True,False,2,0,3
125,9556,1,117.1,0,0,1,0,0,19,24.2,0.0,0,True,False,False,0,3,3
126,9085,1,160.0,0,0,1,0,0,20,28.333333333333332,27.55555555555556,1,False,True,False,2,1,3
127,9853,1,145.3,0,0,1,0,1,18,25.6,26.8,1,False,True,False,1,1,3
128,9238,1,122.6,0,0,1,0,0,18,26.0,27.333333333333332,1,False,True,False,2,0,3
129,9500,1,128.0,0,0,1,0,0,19,26.93428571428571,30.022222222222226,1,False,False,True,2,1,3
130,9500,1,124.9,0,0,1,0,1,18,26.475,27.485714285714288,0,False,True,False,0,1,3
131,9070,1,123.7,0,0,1,0,0,18,24.666666666666668,26.0,1,False,True,False,2,0,3
132,9147,1,120.1,0,0,1,0,0,19,24.8,29.2,1,False,True,False,2,1,3
133,9500,1,131.7,0,0,1,0,0,19,28.0,0.0,0,True,False,False,0,3,3
134,9238,1,133.2,0,0,1,0,0,20,23.333333333333332,23.428571428571427,1,True,False,False,2,3,3
135,9670,1,109.3,0,1,0,0,1,19,24.0,25.0,0,False,True,False,0,1,3
136,9670,1,113.0,0,0,1,0,0,20,24.4,23.0,1,True,False,False,2,3,3
137,9773,1,157.9,0,1,1,0,1,18,29.666666666666668,29.666666666666668,1,False,False,True,2,1,3
138,9500,1,112.1,0,0,1,0,1,20,26.376,25.785714285714285,1,False,True,False,1,0,3
139,9500,1,174.7,0,0,1,0,0,18,34.25,35.175,1,False,False,True,2,1,3
140,9500,1,128.8,0,0,1,0,0,19,25.333333333333332,25.333333333333332,1,False,True,False,2,0,3
141,9773,1,110.1,0,0,1,0,1,19,25.333333333333332,24.0,1,False,True,False,2,1,3
142,9147,1,99.7,0,1,0,0,0,22,0.0,0.0,1,True,False,False,1,2,2
143,9238,1,121.0,0,0,1,0,1,19,22.666666666666668,23.0,1,False,True,False,2,0,3
144,9500,1,131.7,0,0,1,0,1,19,27.21,24.6625,1,False,True,False,2,1,3
145,9853,1,119.1,0,0,1,0,1,19,24.0,21.6,1,True,False,False,2,3,3
146,9254,1,124.7,0,0,1,0,0,19,0.0,0.0,0,True,False,False,0,0,0
147,9254,1,117.2,0,0,1,0,0,20,22.4,23.333333333333332,0,False,True,False,0,0,3
148,9147,1,128.8,0,0,1,0,0,18,26.75,28.333333333333332,1,False,True,False,2,0,3
149,9500,1,131.5,0,0,1,0,1,20,27.726666666666674,28.357142857142858,1,False,False,True,2,1,3
150,171,1,121.7,0,0,1,0,0,18,0.0,0.0,1,True,False,False,1,0,0
151,9085,1,123.4,0,0,1,0,0,19,24.8,26.8,1,False,True,False,2,0,3
152,9853,1,124.7,0,0,1,0,0,18,24.666666666666668,21.666666666666668,1,False,True,False,1,0,3
153,9853,1,132.8,0,0,1,0,0,18,26.666666666666668,23.6,1,False,True,False,2,1,3
154,9853,1,108.7,0,0,1,0,0,21,25.333333333333332,20.0,0,False,True,False,0,1,3
155,9853,1,138.1,0,0,1,0,0,19,24.0,23.0,0,False,True,False,0,1,3
156,9147,1,126.5,0,0,1,0,1,18,21.2,23.6,1,False,True,False,2,0,3
157,9238,1,127.4,0,0,1,0,1,18,24.5,23.714285714285715,1,False,True,False,2,0,3
158,9238,1,123.6,0,0,1,0,0,20,22.0,23.666666666666668,1,False,True,False,2,1,3
159,8014,0,122.0,0,0,1,0,1,24,22.0,25.2,1,True,False,False,2,3,3
160,9670,1,118.2,0,0,1,0,0,19,26.333333333333332,26.0,0,False,True,False,0,0,3
161,9500,1,123.9,0,0,1,0,1,18,25.71111111111111,25.522222222222226,1,False,True,False,2,1,3
162,9500,1,125.8,0,0,1,0,0,18,29.8375,30.71,1,False,False,True,2,1,3
163,9853,1,123.3,0,0,1,0,0,21,23.0,22.0,0,False,True,False,0,1,3
164,9670,1,124.4,0,0,1,0,0,19,28.4,28.4,1,False,False,True,2,0,3
165,9773,1,126.0,0,0,1,0,1,19,25.0,26.0,1,False,True,False,2,1,3
166,9003,1,170.0,0,1,1,0,0,47,0.0,0.0,1,True,False,False,1,0,0
167,9238,1,121.5,0,0,1,0,0,19,23.333333333333332,22.0,1,False,True,False,2,1,3
168,9500,1,130.0,0,0,1,0,0,29,28.514285714285712,28.514285714285712,1,False,False,True,2,1,3
169,9238,1,117.0,0,0,1,0,0,21,24.0,22.666666666666668,0,False,True,False,0,0,3
170,9085,1,130.0,0,0,1,0,0,28,22.5,21.0,1,False,True,False,1,1,3
171,9556,1,108.0,0,0,1,0,0,20,24.91428571428571,27.125,1,False,True,False,2,1,3
172,9500,1,132.3,0,0,1,0,0,19,23.366666666666664,23.366666666666664,1,False,True,False,2,1,3
173,8014,0,148.0,0,0,1,0,0,26,23.333333333333332,24.0,1,False,True,False,2,1,3
174,9254,1,122.6,0,1,0,0,0,20,23.5,26.333333333333332,0,True,False,False,0,0,3
175,9670,1,123.0,0,0,1,0,1,18,23.333333333333332,27.0,1,False,True,False,1,1,3
176,9853,1,102.5,0,0,1,0,0,27,26.4,24.0,1,False,True,False,2,0,3
177,9500,1,113.3,0,0,1,0,0,20,23.9,23.9,0,False,True,False,0,1,3
178,9853,1,133.0,0,0,1,0,0,18,24.8,20.8,0,False,True,False,0,1,3
179,9500,1,140.0,0,0,1,0,0,33,28.7,29.166666666666668,0,False,False,True,0,1,3
180,9853,1,128.3,0,0,1,0,0,35,25.23809523809524,25.57894736842105,1,False,True,False,2,0,3
181,9991,0,140.0,0,0,1,0,1,26,25.333333333333332,26.333333333333332,1,False,True,False,1,0,3
182,9773,1,104.0,0,1,0,0,0,27,24.0,0.0,0,True,False,False,0,3,3
183,9070,1,122.3,0,0,0,0,0,19,24.333333333333332,0.0,0,True,False,False,0,3,3
184,9254,1,135.0,0,0,1,0,0,20,0.0,0.0,0,True,False,False,0,1,1
185,9147,1,119.1,0,1,0,0,0,20,20.0,21.142857142857142,0,True,False,False,0,1,3
186,9238,1,126.6,0,1,0,0,0,21,23.0,20.0,1,True,False,False,1,0,3
187,9500,1,129.0,0,0,1,0,1,18,26.1,26.1,1,False,True,False,2,0,3
188,9085,1,162.3,0,0,1,0,0,24,22.0,0.0,0,True,False,False,0,3,3
189,9070,1,163.4,0,0,1,0,0,20,23.0,24.0,1,False,True,False,2,1,3
190,9254,1,121.5,0,0,1,0,1,21,24.0,25.0,1,False,True,False,2,1,3
191,8014,0,122.8,0,0,1,0,0,23,20.0,20.0,1,False,True,False,1,1,3
192,9147,1,118.0,0,0,1,0,0,24,0.0,0.0,0,True,False,False,0,2,2
193,9853,1,134.0,0,0,1,0,0,21,0.0,0.0,0,True,False,False,0,0,0
194,9500,1,129.8,0,0,1,0,0,18,24.485714285714288,24.485714285714288,1,False,True,False,2,1,3
195,9991,0,152.0,0,0,1,0,0,27,0.0,0.0,0,True,False,False,0,0,0
196,9500,1,122.8,0,0,1,0,0,18,25.8675,25.8675,1,False,True,False,2,0,3
197,9119,1,150.0,0,0,1,0,0,35,0.0,0.0,0,True,False,False,0,0,0
198,9853,1,131.8,0,0,1,0,0,18,25.142857142857142,28.857142857142858,1,False,True,False,2,1,3
199,9500,1,105.9,0,0,1,0,0,35,23.633333333333336,22.666666666666668,1,False,True,False,1,0,3
200,9085,1,132.1,0,0,1,0,0,19,27.5,28.666666666666668,1,True,False,False,2,3,3
201,9238,1,127.4,0,0,1,0,0,20,22.333333333333332,22.666666666666668,1,False,True,False,2,1,3
202,9500,1,129.5,0,0,1,0,0,18,24.648571428571422,24.648571428571422,1,False,True,False,2,0,3
203,9238,1,126.7,0,1,1,0,0,21,24.333333333333332,23.428571428571427,1,True,False,False,2,0,3
204,9238,1,116.5,0,0,1,0,1,18,22.285714285714285,22.5,1,False,True,False,2,1,3
205,9238,1,119.1,0,0,1,0,0,18,22.0,21.5,1,False,True,False,2,1,3
206,9500,1,126.5,0,0,1,0,0,18,25.828571428571426,25.828571428571426,1,False,True,False,2,0,3
207,9773,1,149.8,0,0,1,0,1,18,27.666666666666668,28.333333333333332,1,False,False,True,2,0,3
208,9085,1,115.1,0,0,1,0,0,19,27.714285714285715,26.8,1,False,True,False,2,1,3
209,9254,1,124.5,0,0,1,0,1,36,27.428571428571427,25.6,0,True,False,False,0,3,3
210,9500,1,128.3,0,0,1,0,1,18,25.285714285714285,25.285714285714285,1,False,True,False,2,0,3
211,9500,1,136.0,0,0,1,0,1,18,25.833333333333332,25.833333333333332,1,False,True,False,2,0,3
212,9130,1,140.0,0,0,1,0,1,20,31.25,31.714285714285715,1,False,False,True,2,1,3
213,9991,0,126.3,0,0,1,0,1,26,0.0,0.0,0,True,False,False,0,0,0
214,9773,1,126.9,0,0,1,0,0,21,23.428571428571427,24.0,1,False,True,False,2,1,3
215,9556,1,145.0,0,0,1,0,0,25,24.25,26.625,1,False,True,False,1,1,3
216,9147,1,115.8,0,0,1,0,1,19,23.2,23.2,1,False,True,False,2,0,3
217,8014,0,100.0,0,0,1,0,0,24,20.0,0.0,0,True,False,False,0,3,3
218,8014,0,102.5,0,0,1,0,1,27,20.0,0.0,0,True,False,False,0,3,3
219,9085,1,131.5,0,0,1,0,0,21,0.0,27.0,0,True,False,False,0,3,3
220,9147,1,147.0,0,0,1,0,1,18,26.0,24.666666666666668,1,False,True,False,2,1,3
221,9853,1,122.5,1,0,1,0,1,19,26.666666666666668,29.0,1,False,True,False,2,0,3
222,9254,1,117.5,0,0,1,0,0,18,22.5,25.0,0,False,True,False,0,0,3
223,9500,1,150.0,0,0,1,0,1,19,27.7,24.38571428571428,1,False,True,False,2,1,3
224,9500,1,127.5,0,0,1,0,1,19,27.483333333333334,29.825,1,False,False,True,2,0,3
225,9991,0,140.0,0,0,1,0,0,33,30.666666666666668,31.6,1,True,False,False,2,3,3
226,9147,1,130.0,0,0,1,0,0,45,22.0,27.6,1,False,True,False,2,1,3
227,9238,1,133.3,0,0,1,0,1,20,24.0,25.714285714285715,1,False,True,False,2,0,3
228,9670,1,97.0,0,0,1,0,0,28,0.0,0.0,0,True,False,False,0,0,0
229,9500,1,112.0,0,0,1,0,1,19,23.142857142857142,23.142857142857142,1,False,True,False,2,1,3
230,9254,1,123.6,0,0,1,0,0,18,25.714285714285715,25.333333333333332,1,False,True,False,2,1,3
231,9254,1,130.5,0,0,1,0,0,38,0.0,0.0,0,True,False,False,0,2,2
232,9670,1,133.3,0,0,1,0,0,19,26.0,26.4,1,False,True,False,2,0,3
233,9254,1,132.1,0,0,1,0,1,21,22.0,24.0,1,False,True,False,2,1,3
234,9147,1,100.0,0,0,1,0,0,21,24.0,30.0,0,False,True,False,0,1,3
235,9238,1,140.4,0,0,1,0,1,22,25.2,26.0,1,True,False,False,2,3,3
236,9853,1,141.7,0,0,1,0,1,18,26.8,26.333333333333332,1,False,True,False,2,0,3
237,9238,1,119.7,1,0,1,0,1,18,22.666666666666668,23.142857142857142,1,False,True,False,2,1,3
238,9130,1,122.5,0,0,0,0,0,25,27.0,28.5,0,False,True,False,0,1,3
239,9085,1,140.0,0,1,0,0,0,24,23.5,20.666666666666668,0,True,False,False,0,1,3
240,9500,1,119.4,0,0,1,0,0,19,24.942857142857143,22.925,1,False,True,False,1,1,3
241,171,1,155.0,0,0,1,0,0,24,25.818181818181817,27.11111111111111,1,False,True,False,1,0,3
242,9147,1,119.1,0,0,1,0,1,20,23.2,27.2,1,True,False,False,2,3,3
243,9147,1,122.7,0,0,0,0,0,25,0.0,0.0,0,True,False,False,0,1,1
244,9147,1,117.9,0,0,1,0,1,20,25.8,24.727272727272727,1,False,True,False,2,1,3
245,9500,1,130.0,0,0,1,0,0,23,26.44,26.44,1,False,True,False,2,1,3
246,9500,1,120.0,0,0,1,0,1,19,26.302857142857142,26.302857142857142,1,False,True,False,2,0,3
247,9003,1,130.0,0,1,0,0,0,29,25.5,22.666666666666668,0,True,False,False,0,1,3
248,9254,1,116.8,0,0,1,0,0,21,22.666666666666668,24.5,1,False,True,False,2,1,3
249,9670,1,123.4,0,0,1,0,1,18,26.5,28.285714285714285,1,False,True,False,2,0,3
250,9070,1,125.4,0,0,1,0,0,19,24.8,24.8,1,False,True,False,1,1,3
251,9773,1,127.2,0,0,1,0,1,18,30.0,25.666666666666668,0,False,True,False,0,1,3
252,9085,1,103.4,0,0,1,0,0,19,28.8,26.0,1,False,True,False,2,0,3
253,9773,1,123.2,0,0,1,0,0,18,22.0,0.0,1,True,False,False,1,3,3
254,9147,1,124.1,0,0,1,0,0,18,24.8,21.6,1,False,True,False,2,1,3
255,9556,1,99.5,0,1,0,0,1,37,32.0,0.0,0,True,False,False,0,3,3
256,9991,0,124.9,0,0,1,0,0,29,27.142857142857142,24.666666666666668,1,False,True,False,2,0,3
257,9070,1,110.8,0,0,1,0,0,18,23.666666666666668,25.0,1,False,True,False,1,0,3
258,9238,1,118.9,0,0,1,0,1,19,23.333333333333332,25.333333333333332,1,False,True,False,2,1,3
259,9238,1,118.8,0,1,0,0,0,22,23.666666666666668,26.0,0,True,False,False,0,1,3
260,9254,1,137.0,0,0,1,0,1,20,22.333333333333332,21.2,1,False,True,False,2,0,3
261,8014,0,100.0,0,0,1,0,0,34,0.0,0.0,0,True,False,False,0,1,1
262,9119,1,120.0,0,1,0,0,0,30,23.5,24.333333333333332,0,True,False,False,0,0,3
263,9238,1,122.8,0,0,1,0,0,18,28.0,28.0,1,True,False,False,2,3,3
264,9238,1,121.6,0,0,1,0,0,18,25.666666666666668,24.0,1,True,False,False,2,3,3
265,9773,1,149.2,0,0,1,0,0,18,24.5,23.333333333333332,1,True,False,False,2,3,3
266,9500,1,140.0,0,0,1,0,0,18,29.657142857142855,29.657142857142855,1,False,False,True,2,0,3
267,9773,1,133.4,0,0,1,0,1,19,22.8,25.6,1,False,True,False,2,1,3
268,9070,1,126.2,0,0,1,0,1,19,26.0,25.0,1,False,True,False,2,1,3
269,9500,1,127.8,0,0,1,0,1,18,27.342857142857145,27.342857142857145,1,False,True,False,2,0,3
270,9003,1,150.0,0,0,1,0,1,21,25.333333333333332,25.6,1,False,True,False,2,0,3
271,9147,1,113.7,0,0,0,0,0,20,20.0,26.0,0,False,True,False,0,1,3
272,9147,1,117.8,0,0,1,0,0,20,27.0,24.666666666666668,1,False,True,False,2,1,3
273,9500,1,136.7,0,0,1,0,0,19,25.34,27.1,1,False,True,False,2,1,3
274,9238,1,144.7,0,0,1,0,0,20,29.0,30.857142857142858,1,False,False,True,2,0,3
275,9500,1,139.8,0,0,1,0,0,18,27.371428571428567,30.775,1,False,False,True,2,1,3
276,9853,1,113.7,0,0,1,0,0,20,22.0,21.333333333333332,0,False,True,False,0,0,3
277,9130,1,140.0,0,1,0,0,0,29,23.11111111111111,26.4,0,True,False,False,0,1,3
278,9500,1,142.3,0,0,1,0,1,18,27.59428571428572,27.55,1,False,True,False,1,0,3
279,9500,1,119.6,0,0,1,0,1,20,28.0075,27.625714285714285,1,False,True,False,2,1,3
280,9147,1,123.7,0,0,1,0,1,22,24.0,22.8,1,False,True,False,2,0,3
281,8014,0,143.0,0,0,1,0,1,47,28.333333333333332,28.333333333333332,1,False,False,True,2,1,3
282,9991,0,100.1,0,0,1,0,0,31,28.0,27.6,1,True,False,False,2,3,3
283,9070,1,119.4,0,0,1,0,1,21,27.6,25.666666666666668,1,False,True,False,2,1,3
284,8014,0,122.1,0,0,1,0,0,21,25.6,23.714285714285715,1,False,True,False,2,1,3
285,9773,1,100.0,0,0,1,0,0,24,24.333333333333332,27.666666666666668,1,False,True,False,2,0,3
